FOMCdate,GBdate,GBpubDate
19670110,19670105,19670105
19670207,19670201,19670201
19670307,19670301,19670301
19670404,19670329,19670329
19670502,19670426,19670426
19670523,19670517,19670517
19670620,19670614,19670614
19670718,19670717,19670712
19670815,19670809,19670809
19670912,19670907,19670907
19671003,19670927,19670927
19671024,19671018,19671018
19671114,19671108,19671108
19671127,19671125,19671125
19671212,19671206,19671206
19680109,19680104,19680104
19680206,19680206,19680131
19680305,19680228,19680228
19680402,19680327,19680327
19680430,19680424,19680424
19680528,19680522,19680522
19680618,19680612,19680612
19680716,19680710,19680710
19680813,19680807,19680807
19680910,19680904,19680905
19681008,19681002,19681002
19681029,19681023,19681023
19681126,19681120,19681120
19681217,19681211,19681211
19690114,19690108,19690108
19690204,19690129,19690129
19690304,19690226,19690226
19690401,19690326,19690326
19690429,19690423,19690423
19690527,19690521,19690521
19690624,19690618,19690618
19690715,19690709,19690709
19690812,19690806,19690806
19690909,19690904,19690904
19691007,19691001,19691001
19691028,19691022,19691022
19691125,19691119,19691119
19691216,19691210,19691210
19700115,19700107,19700107
19700210,19700204,19700204
19700310,19700304,19700304
19700407,19700401,19700401
19700505,19700429,19700429
19700526,19700520,19700520
19700623,19700617,19700617
19700721,19700715,19700715
19700818,19700812,19700812
19700915,19700909,19700909
19701020,19701014,19701014
19701117,19701111,19701110
19701215,19701209,19701209
19710112,19710106,19710106
19710209,19710203,19710203
19710309,19710303,19710303
19710406,19710331,19710331
19710511,19710428,19710428
19710608,19710602,19710602
19710629,19710623,19710623
19710727,19710721,19710721
19710824,19710820,19710818
19710921,19710915,19710915
19711019,19711013,19711013
19711116,19711110,19711110
19711214,19711208,19711208
19720111,19720107,19720107
19720215,19720209,19720209
19720321,19720315,19720315
19720418,19720412,19720412
19720523,19720517,19720517
19720620,19720614,19720614
19720718,19720712,19720712
19720815,19720809,19720809
19720919,19720913,19720913
19721017,19721011,19721011
19721121,19721115,19721115
19721219,19721213,19721213
19730116,19730110,19730110
19730213,19730207,19730207
19730320,19730314,19730314
19730417,19730411,19730411
19730515,19730509,19730509
19730619,19730618,19730613
19730717,19730711,19730711
19730821,19730815,19730815
19730918,19730912,19730912
19731016,19731010,19731010
19731120,19731114,19731114
19731218,19731212,19731212
19740122,19740116,19740116
19740220,19740213,19740213
19740319,19740313,19740313
19740416,19740410,19740410
19740521,19740515,19740515
19740618,19740612,19740612
19740716,19740710,19740710
19740820,19740814,19740814
19740910,19740904,19740904
19741015,19741009,19741009
19741119,19741113,19741113
19741217,19741211,19741211
19750121,19750115,19750115
19750219,19750212,19750212
19750318,19750312,19750312
19750415,19750409,19750409
19750520,19750514,19750514
19750617,19750611,19750611
19750715,19750709,19750709
19750819,19750813,19750813
19750916,19750910,19750910
19751021,19751015,19751015
19751118,19751112,19751112
19751216,19751210,19751210
19760120,19760114,19760114
19760218,19760211,19760211
19760316,19760310,19760310
19760420,19760414,19760414
19760518,19760512,19760512
19760622,19760616,19760616
19760720,19760714,19760714
19760817,19760811,19760811
19760921,19760915,19760915
19761019,19761013,19761013
19761116,19761110,19761110
19761221,19761215,19761215
19770118,19770112,19770112
19770215,19770209,19770209
19770315,19770309,19770309
19770419,19770415,19770413
19770517,19770511,19770511
19770621,19770615,19770615
19770719,19770713,19770713
19770816,19770810,19770810
19770920,19770914,19770914
19771018,19771012,19771012
19771115,19771109,19771109
19771220,19771214,19771214
19780117,19780111,19780111
19780228,19780222,19780222
19780321,19780315,19780315
19780418,19780412,19780412
19780516,19780510,19780510
19780620,19780614,19780614
19780718,19780712,19780712
19780815,19780809,19780809
19780919,19780913,19780913
19781017,19781011,19781011
19781121,19781115,19781115
19781219,19781213,19781213
19790206,19790131,19790131
19790320,19790314,19790314
19790417,19790411,19790411
19790522,19790516,19790516
19790711,19790703,19790703
19790814,19790808,19790808
19790918,19790912,19790912
19791120,19791114,19791114
19791006,19791012,19791012
19800109,19800103,19800103
19800205,19800130,19800130
19800318,19800314,19800312
19800422,19800416,19800416
19800520,19800514,19800514
19800709,19800702,19800702
19800812,19800806,19800806
19800916,19800910,19800910
19801021,19801015,19801015
19801118,19801112,19801112
19801219,19801212,19801212
19810203,19810128,19810128
19810331,19810325,19810325
19810518,19810513,19810513
19810707,19810701,19810701
19810818,19810812,19810812
19811006,19810930,19810930
