fomc,DFFR,rr_original,rr_update
1967-01-10,,,
1967-02-07,,,
1967-03-07,,,
1967-04-04,,,
1967-05-02,,,
1967-05-23,,,
1967-06-20,,,
1967-07-18,,,
1967-08-15,,,
1967-09-12,,,
1967-10-03,,,
1967-10-24,,,
1967-11-14,,,
1967-11-27,,,
1967-12-12,,,
1968-01-09,,,
1968-02-06,,,
1968-03-05,,,
1968-04-02,,,
1968-04-30,,,
1968-05-28,,,
1968-06-18,,,
1968-07-16,,,
1968-08-13,,,
1968-09-10,,,
1968-10-08,,,
1968-10-29,,,
1968-11-26,,,
1968-12-17,,,
1969-01-14,0,,
1969-02-04,0,,
1969-03-04,-.125,-.24526549,-.1909245
1969-04-01,.5,.2724109,.3636617
1969-04-29,.25,.13237069,.1993711
1969-05-27,.125,.20393972,.2462265
1969-06-24,0,-.02020475,.0257327
1969-07-15,.125,.18070655,.2171186
1969-08-12,.25,.30942411,.3302104
1969-09-09,0,.02900755,.0462961
1969-10-07,0,.01479669,.0557191
1969-10-28,0,.07274954,.1170225
1969-11-25,0,-.00508638,.0590258
1969-12-16,0,.06468686,.0899969
1970-01-15,-.25,-.16018796,-.0798308
1970-02-10,-.5,-.3599481,-.3513941
1970-03-10,-.1875,-.13950095,-.0587772
1970-04-07,0,-.14467815,-.1445207
1970-05-05,.125,.2929531,.2398096
1970-05-26,0,.00718245,.0743325
1970-06-23,-.25,-.17952342,-.1379502
1970-07-21,-.25,-.24259135,-.2008899
1970-08-18,-.5,-.48256485,-.4304539
1970-09-15,-.1875,-.27240918,-.2175594
1970-10-20,-.125,-.00889988,-.0659369
1970-11-17,-.625,-.34616827,-.4260992
1970-12-15,-.375,-.2289552,-.2566271
1971-01-12,-.5,-.68154003,-.6559942
1971-02-09,-.125,-.0249148,-.1639841
1971-03-09,.125,-.0653406,-.0768472
1971-04-06,.375,.46057985,.4740439
1971-05-11,.25,.00255522,.0596009
1971-06-08,.375,.2451575,.2593646
1971-06-29,.25,.09780622,.0885166
1971-07-27,.125,-.11703265,-.0686398
1971-08-24,0,,
1971-09-21,-.25,,
1971-10-19,-.125,-.32161671,-.303424
1971-11-16,-.375,-.34161517,-.293476
1971-12-14,-.625,-.91993308,-.8645744
1972-01-11,-.3125,-.23417819,-.3172306
1972-02-15,0,-.08553253,-.1208527
1972-03-21,.3125,.25152345,.2253434
1972-04-18,.125,-.10420981,-.1245552
1972-05-23,.3125,-.11492607,-.0638369
1972-06-20,.125,-.04985413,-.067795
1972-07-18,0,,
1972-08-15,.125,,-.0515547
1972-09-19,.1875,,.0016718
1972-10-17,.125,,-.0513687
1972-11-21,.125,.03580431,.0217844
1972-12-19,.25,-.02653446,.0413305
1973-01-16,.5,.2794698,.3355047
1973-02-13,.3125,.22536084,.2036381
1973-03-20,.125,.06443821,.0361591
1973-04-17,.1875,-.06287098,-.0358783
1973-05-15,.5,.3169684,.3370656
1973-06-19,.5,.40937235,.3888127
1973-07-17,.25,.11514598,.184267
1973-08-21,.25,.31761234,.2694617
1973-09-18,-.375,-.57074652,-.5268743
1973-10-16,-.75,-.84802678,-.7998362
1973-11-20,0,-.09497237,-.0597373
1973-12-18,-.625,-.1650766,-.2248415
1974-01-22,-.375,-.20640514,-.2385629
1974-02-20,-.125,.20120051,.1772117
1974-03-19,.6875,.73286024,.8002422
1974-04-16,.625,.38679092,.4287955
1974-05-21,.375,.3917307,.3818808
1974-06-18,.25,.27971118,.303533
1974-07-16,-.5,-.09126406,-.151846
1974-08-20,-.375,-.02151454,-.0675382
1974-09-10,-.625,-.42973776,-.4265367
1974-10-15,-.8125,-.28397471,-.406871
1974-11-19,-.25,.33647607,.1486856
1974-12-17,-.625,-.22851303,-.2889293
1975-01-21,-.5625,-.35386212,-.3877089
1975-02-19,-.5,.24291456,.2069866
1975-03-18,-.5,-.49850615,-.4860471
1975-04-15,-.125,-.63717064,-.5905063
1975-05-20,0,.13558361,.1060119
1975-06-17,.375,.17042175,.1619144
1975-07-15,.125,.0699576,-.0120612
1975-08-19,0,-.13645516,-.187119
1975-09-16,.25,-.11375704,-.0575042
1975-10-21,-.25,-.19973813,-.2505334
1975-11-18,-.25,-.28141092,-.3416514
1975-12-16,0,.28034253,.1388213
1976-01-20,0,-.0906545,-.1073981
1976-02-18,0,-.46912145,-.4445644
1976-03-16,0,-.2389272,-.2346794
1976-04-20,.125,.13886769,.0694947
